sz002644 佛慈制药
sz002664 信质电机
sz000908 ST天一
sh600216 浙江医药
sh600979 广安爱众
sh600724 宁波富达
sz300137 先河环保
sh600129 太极集团
sz002569 步森股份
sz000712 锦龙股份
sh600137 浪莎股份
sh600153 建发股份
sh600858 银座股份
sz002182 云海金属
sh600083 ST博信
sh600743 华远地产
sz002366 丹甫股份
sz002583 海能达
sz002123 荣信股份
sz300073 当升科技
sz002363 隆基机械
sh601898 中煤能源
sz002152 广电运通
sh600419 ST天宏
sz000982 中银绒业
sz000620 新华联
sh600639 浦东金桥
sz002516 江苏旷达
sh600121 郑州煤电
sz300013 新宁物流
sz002544 杰赛科技
sh600750 江中药业
sh600978 宜华木业
sz300076 宁波GQY
sz000715 中兴商业
sh600775 南京熊猫
sz000403 S*ST生化
sz300044 赛为智能
sh600338 ST珠峰
sz300053 欧比特
sh600666 西南药业
sz002655 共达电声
sz300022 吉峰农机
sz002369 卓翼科技
sz002422 科伦药业
sh600682 南京新百
sz000768 西飞国际
sh600499 科达机电
sz002410 广联达
sh600754 锦江股份
sz000836 鑫茂科技
sz300024 机器人
sz000619 海螺型材
sh600847 ST渝万里
sh601601 中国太保
sz002418 康盛股份
sz300018 中元华电
sz000751 *ST锌业
sz000572 海马汽车
sh600712 南宁百货
sh600756 浪潮软件
sz002086 东方海洋
sh600480 凌云股份
sh600763 通策医疗
sh600692 亚通股份
sh600067 冠城大通
sz000709 河北钢铁
sz300264 佳创视讯
sz000096 广聚能源
sh600469 风神股份
sh601866 中海集运
sh600330 天通股份
sh600777 新潮实业
sz002550 千红制药
sz002068 黑猫股份
sh600623 双钱股份
sh600050 中国联通
sz002466 天齐锂业
sz002483 润邦股份
sh600699 ST得亨
sh600835 上海机电
sz000759 中百集团
sz002275 桂林三金
sz002413 常发股份
sh600990 四创电子
sh600801 华新水泥
sz000692 惠天热电
sh600795 国电电力
sz002178 延华智能
sz000933 神火股份
sz000958 ST东热
sh600512 腾达建设
sh600976 武汉健民
sh600643 爱建股份
sz000050 深天马Ａ
sz002297 博云新材
sh600690 青岛海尔
sz000801 四川九洲
sh600725 云维股份
sz000985 大庆华科
sz000068 ST三星
sz000661 长春高新
sh600232 金鹰股份
sz300012 华测检测
sz300202 聚龙股份
sz000682 东方电子
sz300051 三五互联
sz000005 世纪星源
sz002025 航天电器
sh600332 广州药业
sh600535 天士力
sh600393 东华实业
sz300155 安居宝
sh600335 鼎盛天工
sz300303 聚飞光电
sz002352 鼎泰新材
sz002520 日发数码
sh600120 浙江东方
sz300149 量子高科
sz002318 久立特材
sz000018 ST中冠A
sh600246 万通地产
sz000524 东方宾馆
sz000555 ST 太 光
sh600616 金枫酒业
sz002107 沃华医药
sh600798 宁波海运
sz002411 九九久
sh600160 巨化股份
sh600478 科力远
sz000761 本钢板材
sz000426 兴业矿业
sz000595 *ST西轴
sz002291 星期六
sz002238 天威视讯
sh600585 海螺水泥
sz002620 瑞和股份
sz300077 国民技术
sh600636 三爱富
sz300062 中能电气
sz002193 山东如意
sz000812 陕西金叶
sz300119 瑞普生物
sz002274 华昌化工
sz300301 长方照明
sz002227 奥 特 迅
sh600305 恒顺醋业
sz000951 中国重汽
sz002174 梅 花 伞
sz002085 万丰奥威
sz002515 金字火腿
sh600962 国投中鲁
sz002027 七喜控股
sz002147 方圆支承
sh600108 亚盛集团
sz000505 ST珠江
sz002426 胜利精密
sz300195 长荣股份
sh600732 上海新梅
sz300241 瑞丰光电
sz300290 荣科科技
sz002337 赛象科技
sz000565 渝三峡Ａ
sz002214 大立科技
sz002106 莱宝高科
sh600790 轻纺城
sz300161 华中数控
sz002440 闰土股份
sz002628 成都路桥
sh600345 长江通信
sh600346 大橡塑
sz000520 长航凤凰
sz002002 ST金材
sh600367 红星发展
sz002249 大洋电机
sz002508 老板电器
sz002146 荣盛发展
sz000779 三毛派神
sz000938 紫光股份
sz000421 南京中北
sh600869 三普药业
sz002434 万里扬
sz002306 湘鄂情
sh601607 上海医药
sh600130 *ST波导
sz000862 银星能源
sz000966 长源电力
sh600735 新华锦
sz002448 中原内配
sz000423 东阿阿胶
sz002009 天奇股份
sz002309 中利科技
sh600791 京能置业
sz002665 首航节能
sz000048 ST康达尔
sz000513 丽珠集团
sh600375 星马汽车
sz300184 力源信息
sh600270 外运发展
sz000557 *ST广夏
sh600748 上实发展
sh601678 滨化股份
sz002187 广百股份
sh600845 宝信软件
sh600753 东方银星
sz000546 光华控股
sz000532 力合股份
sz002610 爱康科技
sz000020 深华发Ａ
sz002653 海思科
sh600836 界龙实业
sh600586 金晶科技
sz002091 江苏国泰
sz002465 海格通信
sz000008 ST宝利来
sh600596 新安股份
sz002474 榕基软件
sz000708 大冶特钢
sz002135 东南网架
sz000036 华联控股
sz000680 山推股份
sz000088 盐 田 港
sz002282 博深工具
sh600435 中兵光电
sz000599 青岛双星
sz000795 太原刚玉
sz300052 中青宝
sz002294 信立泰
sz000031 中粮地产
sh600812 华北制药
sh600054 黄山旅游
sz002071 江苏宏宝
sz300235 方直科技
sz300240 飞力达
sz000831 *ST关铝
sz002035 华帝股份
sz000560 昆百大Ａ
sz000502 绿景控股
sh600584 长电科技
sz300217 东方电热
sh600479 千金药业
sh600320 振华重工
sz002350 北京科锐
sz000703 恒逸石化
sz000037 深南电Ａ
sz300190 维尔利
sh601666 平煤股份
sh600548 深高速
sz002405 四维图新
sz002118 紫鑫药业
sz002329 皇氏乳业
sz300304 云意电气
sh600839 四川长虹
sh600423 柳化股份
sz000807 云铝股份
sh600518 康美药业
sz300259 新天科技
sz000016 深康佳Ａ
sz002052 同洲电子
sz002636 金安国纪
sh600691 ST东碳
sh600221 海南航空
sz000537 广宇发展
sz002148 北纬通信
sz002334 英威腾
sh600110 中科英华
sh600073 上海梅林
sh600306 商业城
sz300156 天立环保
sh600213 亚星客车
sz000713 丰乐种业
sz000881 大连国际
sh600138 中青旅
sz000592 中福实业
sz002156 通富微电
sh600751 SST天海
sh601186 中国铁建
sz000695 滨海能源
sh600601 方正科技
sz002478 常宝股份
sz002663 普邦园林
sh600824 益民商业
sz000010 S ST华新
sz000979 中弘股份
sz000850 华茂股份
sz002320 海峡股份
sh600550 天威保变
sh601872 招商轮船
sz002063 远光软件
sh600006 东风汽车
sz002461 珠江啤酒
sh600139 西部资源
sh600823 世茂股份
sh600433 冠豪高新
sz000046 泛海建设
sz002251 步 步 高
sz300040 九洲电气
sz002167 东方锆业
sz002638 勤上光电
sz002169 智光电气
sz000411 英特集团
sz000631 顺发恒业
sz300183 东软载波
sh600015 华夏银行
sz002470 金正大
sh600781 上海辅仁
sz002290 禾盛新材
sz300279 和晶科技
sz300001 特锐德
sh600250 南纺股份
sz300080 新大新材
sz002460 赣锋锂业
sh600815 厦工股份
sz002100 天康生物
sh600005 武钢股份
sh600832 东方明珠
sh600875 东方电气
sh600288 大恒科技
sz002399 海普瑞
sz002141 蓉胜超微
sh600822 上海物贸
sh600567 山鹰纸业
sz300294 博雅生物
sz300054 鼎龙股份
sh600429 三元股份
sz002501 利源铝业
sz000968 煤 气 化
sh600222 太龙药业
sh600240 华业地产
sz000916 华北高速
sz300194 福安药业
sz300265 通光线缆
sz002330 得利斯
sh600378 天科股份
sz002019 *ST鑫富
sz002652 扬子新材
sh600891 SST秋林
sh600654 飞乐股份
sz000636 风华高科
sh600271 航天信息
sz000019 深深宝Ａ
sz002625 龙生股份
sz000558 莱茵置业
sz002042 华孚色纺
sh600626 申达股份
sh600730 中国高科
sh600159 大龙地产
sh600072 中船股份
sz002512 达华智能
sz001696 宗申动力
sz002669 康达新材
sz002433 太安堂
sz002568 百润股份
sz300123 太阳鸟
sh600026 中海发展
sz002631 德尔家居
sh601788 光大证券
sh600573 惠泉啤酒
sh600097 开创国际
sz300103 达刚路机
sz002078 太阳纸业
sz300098 高新兴
sh600027 华电国际
sh600278 东方创业
sz002543 万和电气
sz000733 振华科技
sh600493 凤竹纺织
sz000581 威孚高科
sz000543 皖能电力
sz002284 亚太股份
sh601600 中国铝业
sh601857 中国石油
sz000551 创元科技
sh600215 长春经开
sz002660 茂硕电源
sz002218 拓日新能
sh600422 昆明制药
sh600973 宝胜股份
sz000566 海南海药
sz002379 鲁丰股份
sz000993 闽东电力
sz002252 上海莱士
sh600583 海油工程
sz300014 亿纬锂能
sh600287 江苏舜天
sz002488 金固股份
sz002013 中航精机
sh600614 鼎立股份
sh600562 *ST高陶
sh601166 兴业银行
sh600503 华丽家族
sz002076 雪 莱 特
sz000593 大通燃气
sz002045 广州国光
sz000419 通程控股
sh600135 乐凯胶片
sz002223 鱼跃医疗
sh600769 祥龙电业
sz300229 拓尔思
sh600317 营口港
sz000488 晨鸣纸业
sz002203 海亮股份
sh600117 西宁特钢
sh600828 成商集团
sh600661 新南洋
sz002271 东方雨虹
sz000404 华意压缩
sz000608 阳光股份
sh600729 重庆百货
sz300068 南都电源
sz002046 轴研科技
sh600460 士兰微
sh600971 恒源煤电
sz002286 保龄宝
sz002661 克明面业
sz002672 东江环保
sh600239 云南城投
sh601106 中国一重
sh600887 *ST伊利
sh600352 浙江龙盛
sz002021 中捷股份
sh600459 贵研铂业
sz300252 金信诺
sz002420 毅昌股份
sh600362 江西铜业
sz000055 方大集团
sz002137 实 益 达
sz000408 ST金谷源
sh600530 交大昂立
sz000526 银润投资
sz002511 中顺洁柔
sz300146 汤臣倍健
sz300247 桑乐金
sz002231 奥维通信
sz000883 湖北能源
sh600649 城投控股
sz002094 青岛金王
sh600212 江泉实业
sz002468 艾迪西
sz000568 泸州老窖
sz002243 通产丽星
sz002240 威华股份
sh600884 杉杉股份
sz002437 誉衡药业
sz002454 松芝股份
sz000657 *ST 中钨
sz300085 银之杰
sh600760 东安黑豹
sh600127 金健米业
sz002034 美 欣 达
sz002435 长江润发
sz300065 海兰信
sz000920 南方汇通
sz000953 ST河化
sz002221 东华能源
sz000413 宝 石Ａ
sh600302 标准股份
sz002110 三钢闽光
sz002331 皖通科技
sz002242 九阳股份
sz000066 长城电脑
sz002298 鑫龙电器
sz002619 巨龙管业
sh600965 福成五丰
sz300129 泰胜风能
sz000534 万泽股份
sh600007 中国国贸
sz002615 哈尔斯
sz002391 长青股份
sz002194 武汉凡谷
sz000888 峨眉山Ａ
sh600647 同达创业
sh600761 安徽合力
sh600539 狮头股份
sh600382 广东明珠
sz000737 *ST南风
sz002233 塔牌集团
sz300218 安利股份
sh600758 红阳能源
sz300307 慈星股份
sz300101 国腾电子
sz002445 中南重工
sh600597 光明乳业
sh601808 中海油服
sz002486 嘉麟杰
sz000529 广弘控股
sz002573 国电清新
sz000921 ST 科 龙
sh601088 中国神华
sz300167 迪威视讯
sz002367 康力电梯
sz002621 大连三垒
sz002364 中恒电气
sz000860 顺鑫农业
sz002659 中泰桥梁
sz002347 泰尔重工
sh600881 亚泰集团
sz300215 电科院
sz000755 山西三维
sz300093 金刚玻璃
sz300284 苏交科
sz002104 恒宝股份
sz000591 桐 君 阁
sz300317 珈伟股份
sz300002 神州泰岳
sh600621 上海金陵
sz300108 双龙股份
sz300185 通裕重工
sz002158 汉钟精机
sh600112 长征电气
sh600819 耀皮玻璃
sh600158 中体产业
sz002507 涪陵榨菜
sz000828 东莞控股
sz002540 亚太科技
sz000711 天伦置业
sz002213 特 尔 佳
sz000687 保定天鹅
sz002574 明牌珠宝
sz002232 启明信息
sz002626 金达威
sz002373 联信永益
sz000637 茂化实华
sh600531 豫光金铅
sz002332 仙琚制药
sz300296 利亚德
sh600578 京能热电
sz002526 山东矿机
sz002128 露天煤业
sz300273 和佳股份
sz300004 南风股份
sz300088 长信科技
sh600351 亚宝药业
sh600361 华联综超
sz002357 富临运业
sh600111 包钢稀土
sz002370 亚太药业
sz002216 三全食品
sz300261 雅本化学
sh600982 宁波热电
sz002219 独 一 味
sh600062 双鹤药业
sz000418 小天鹅Ａ
sh600273 华芳纺织
sz002490 山东墨龙
sz300066 三川股份
sz002264 新 华 都
sz300015 爱尔眼科
sh601958 金钼股份
sz000670 S*ST天发
sz300173 松德股份
sh601007 金陵饭店
sz300081 恒信移动
sh600061 中纺投资
sz002109 兴化股份
sz300207 欣旺达
sh600716 ST凤凰
sh600356 恒丰纸业
sh600856 长百集团
sh600415 小商品城
sh600033 福建高速
sh600520 三佳科技
sz000530 大冷股份
sh600894 广钢股份
sh600817 *ST宏盛
sz002053 云南盐化
sh600728 S*ST新太
sz300046 台基股份
sh601001 大同煤业
sz300315 掌趣科技
sz300122 智飞生物
sz002279 久其软件
sz000035 *ST科健
sz000609 绵世股份
sz300032 金龙机电
sh600837 海通证券
sh600900 长江电力
sz002145 *ST钛白
sz002449 国星光电
sz002099 海翔药业
sz000612 焦作万方
sh601688 华泰证券
sz000627 天茂集团
sh600470 六国化工
sz300246 宝莱特
sh600284 浦东建设
sz300291 华录百纳
sz002390 信邦制药
sz000820 *ST金城
sz002293 罗莱家纺
sh600773 西藏雅砻
sz300043 星辉车模
sz000901 航天科技
sh601318 中国平安
sh600720 祁连山
sz002622 永大集团
sh600853 龙建股份
sh600398 凯诺科技
sh600266 北京城建
sz002171 精诚铜业
sh600987 航民股份
sz000503 海虹控股
sh600510 黑牡丹
sh600491 龙元建设
sz000919 金陵药业
sz000939 凯迪电力
sz000061 农 产 品
sz300206 理邦仪器
sz300138 晨光生物
sz002441 众业达
sh600086 东方金钰
sh600624 复旦复华
sz300092 科新机电
sz300244 迪安诊断
sh600308 华泰股份
sz002579 中京电子
sz000690 宝新能源
sz000792 盐湖股份
sh600966 博汇纸业
sh600438 通威股份
sz002462 嘉事堂
sz000059 辽通化工
sh600874 创业环保
sh600416 湘电股份
sh600807 天业股份
sz002165 红 宝 丽
sh600161 天坛生物
sz002313 日海通讯
sh600157 鲁润股份
sz300016 北陆药业
sh600508 上海能源
sz000809 铁岭新城
sz000663 永安林业
sz002417 三元达
sz002138 顺络电子
sh600963 岳阳纸业
sz002561 徐家汇
sh600984 *ST建机
sh600383 金地集团
sz000683 远兴能源
sz002098 浔兴股份
sz002589 瑞康医药
sz000523 广州浪奇
sz300100 双林股份
sz000034 深信泰丰
sz002015 霞客环保
sz000518 四环生物
sh600637 广电信息
sz000707 双环科技
sz002572 索菲亚
sz002303 美盈森
sh600841 上柴股份
sz000017 *ST中华A
sz000550 江铃汽车
sh600797 浙大网新
sh600340 *ST国祥
sh600843 上工申贝
sh600055 万东医疗
sz002191 劲嘉股份
sh600150 中国船舶
sz000929 兰州黄河
sz000963 华东医药
sz002634 棒杰股份
sh600641 万业企业
sz300028 金亚科技
sh600107 美尔雅
sz002429 兆驰股份
sz002325 洪涛股份
sh600109 国金证券
sh600018 上港集团
sh600425 青松建化
sh600326 西藏天路
sz002452 长高集团
sz002226 江南化工
sz300228 富瑞特装
sh600048 保利地产
sh601002 晋亿实业
sz002336 人人乐
sh600694 大商股份
sz002499 科林环保
sz002323 中联电气
sh600742 一汽富维
sz000651 格力电器
sz002044 江苏三友
sz002048 宁波华翔
sh601005 重庆钢铁
sz300124 汇川技术
sz002126 银轮股份
sh601328 交通银行
sh600462 ST石岘
sh600628 新世界
sz300175 朗源股份
sz300275 梅安森
sh600674 川投能源
sh600809 山西汾酒
sh600713 南京医药
sz000997 新 大 陆
sh600012 皖通高速
sz002196 方正电机
sh601939 建设银行
sz000962 东方钽业
sz002125 湘潭电化
sz002667 鞍重股份
sz002542 中化岩土
sh600587 新华医疗
sh600481 双良股份
sz002180 万 力 达
sh600603 ST兴业
sh600592 龙溪股份
sz000716 南方食品
sh600532 华阳科技
sz002604 龙力生物
sz300309 吉艾科技
sh600744 华银电力
sz002154 报 喜 鸟
sh600081 东风科技
sz000420 *ST吉纤
sz002315 焦点科技
sh600715 ST松辽
sz002186 全 聚 德
sh600820 隧道股份
sh600555 九龙山
sz002043 兔 宝 宝
sz002149 西部材料
sz000570 苏常柴Ａ
sh600704 中大股份
sz000948 南天信息
sz300316 晶盛机电
sz300128 锦富新材
sz000691 *ST亚太
sz002059 云南旅游
sh600961 株冶集团
sh600156 华升股份
sh600059 古越龙山
sh601989 中国重工
sh600746 江苏索普
sz000617 石油济柴
sh600872 中炬高新
sh600360 华微电子
sz300118 东方日升
sz002131 利欧股份
sz000970 中科三环
sz002396 星网锐捷
sh600997 开滦股份
sh601333 广深铁路
sz000923 河北宣工
sh600226 升华拜克
sh600695 大江股份
